2026-01-31 11:27:39,804 | dataflows            | WARNING  | interface:<module>:35 | ⚠️ 港股工具不可用: No module named 'yfinance'
2026-01-31 11:27:39,805 | dataflows            | WARNING  | interface:<module>:179 | ⚠️ yfinance工具不可用: No module named 'yfinance'
2026-01-31 11:27:39,805 | dataflows            | WARNING  | interface:<module>:186 | ⚠️ stockstats工具不可用: No module named 'yfinance'
2026-01-31 11:28:05,276 | dataflows            | WARNING  | interface:<module>:35 | ⚠️ 港股工具不可用: No module named 'yfinance'
2026-01-31 11:28:05,276 | dataflows            | WARNING  | interface:<module>:179 | ⚠️ yfinance工具不可用: No module named 'yfinance'
2026-01-31 11:28:05,276 | dataflows            | WARNING  | interface:<module>:186 | ⚠️ stockstats工具不可用: No module named 'yfinance'
2026-01-31 11:28:05,926 | dataflows            | WARNING  | interface:<module>:202 | ⚠️ yfinance库不可用: No module named 'yfinance'
2026-01-31 11:28:08,938 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 11:28:09,145 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_quotes:796 | ❌ 获取838275实时行情失败: invalid literal for int() with base 10: '-'
Traceback (most recent call last):
  File "/Users/linhuasun/Desktop/stock/mojin-ai/python-core/tradingagents/dataflows/providers/china/akshare.py", line 754, in get_stock_quotes
    volume_in_lots = int(data_dict.get("总手", 0))  # 单位：手
ValueError: invalid literal for int() with base 10: '-'
2026-01-31 11:28:43,423 | dataflows            | WARNING  | interface:<module>:35 | ⚠️ 港股工具不可用: No module named 'yfinance'
2026-01-31 11:28:43,423 | dataflows            | WARNING  | interface:<module>:179 | ⚠️ yfinance工具不可用: No module named 'yfinance'
2026-01-31 11:28:43,424 | dataflows            | WARNING  | interface:<module>:186 | ⚠️ stockstats工具不可用: No module named 'yfinance'
2026-01-31 11:28:43,638 | dataflows            | WARNING  | interface:<module>:202 | ⚠️ yfinance库不可用: No module named 'yfinance'
2026-01-31 11:28:45,968 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 13:56:46,047 | agents               | WARNING  | db_cache:<module>:29 | ⚠️ pymongo 未安装，MongoDB功能不可用
2026-01-31 13:56:46,048 | agents               | WARNING  | db_cache:<module>:38 | ⚠️ redis 未安装，Redis功能不可用
2026-01-31 13:59:10,206 | agents               | WARNING  | db_cache:<module>:29 | ⚠️ pymongo 未安装，MongoDB功能不可用
2026-01-31 13:59:10,206 | agents               | WARNING  | db_cache:<module>:38 | ⚠️ redis 未安装，Redis功能不可用
2026-01-31 14:04:28,646 | agents               | WARNING  | db_cache:<module>:29 | ⚠️ pymongo 未安装，MongoDB功能不可用
2026-01-31 14:04:28,646 | agents               | WARNING  | db_cache:<module>:38 | ⚠️ redis 未安装，Redis功能不可用
2026-01-31 14:05:58,872 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 14:41:36,330 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 14:41:37,008 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 14:41:41,159 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-01-31 14:41:44,644 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:get_stock_list:347 | ❌ AKShare获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
